"intcal20_t","intcal20_dt","z","sed","from_68_3","to_68_3","from_95_4","to_95_4",
439.8,63.8,129,0.168,368,555,347,567,
445.7,66.4,130,0.167,371,562,348,575,
451.7,69.1,131,0.168,374,569,349,584,
457.7,71.8,132,0.168,376,576,349,593,
463.6,74.2,133,0.168,379,583,351,602,
469.6,76.4,134,0.168,382,590,352,612,
475.5,78.7,135,0.168,385,598,353,620,
481.5,81.1,136,0.167,388,604,355,629,
487.5,83.4,137,0.167,391,612,356,639,
493.4,85.8,138,0.167,394,619,356,650,
499.4,88.1,139,0.168,398,626,358,658,
505.4,90.6,140,0.168,400,633,360,670,
