intcal20_t	intcal20_dt	sample	z	sed	from_68_3	to_68_3	from_95_4	to_95_4	
22.2	58.9	EE-PO-A1	40	0.418	-37	84	-95	143	
46.1	59.8	EE-PO-A2	50	0.418	-8	106	-74	166	
237.4	55.8	EE-PO-A3	130	0.418	194	284	117	367	
237.4	55.8	EE-PO-A4	130	0.418	194	284	117	367
