"intcal20_t","intcal20_dt","z","sed","from_68_3","to_68_3","from_95_4","to_95_4",
2000.5,0,0,"NaN",2000,2001,2000,2001,
1993.5,8.2,5,0.698,1991,2003,1977,2003,
1986.2,12.8,10,0.698,1980,2000,1961,2003,
1979.1,16.4,15,0.699,1972,1997,1947,2003,
1971.9,19.9,20,0.699,1960,1994,1934,2003,
1964.7,22.5,25,0.699,1950,1990,1922,2003,
1957.6,24.8,30,0.699,1941,1984,1911,2003,
1950.4,27.3,35,0.7,1931,1979,1897,2001,
1943.3,29.7,40,0.698,1922,1973,1884,2000,
1936.1,32.1,45,0.697,1913,1968,1874,1999,
1928.9,33.1,50,0.699,1904,1962,1866,1996,
1921.8,34.6,55,0.7,1895,1955,1854,1992,
1914.7,35.9,60,0.702,1886,1950,1841,1990,
1907.5,37.6,65,0.701,1877,1944,1832,1985,
1900.4,38.8,70,0.702,1868,1938,1821,1982,
1893.3,40.2,75,0.699,1861,1931,1809,1980,
1886.1,41.7,80,0.704,1852,1926,1799,1975,
1879,43.3,85,0.702,1843,1920,1789,1972,
1871.9,44.4,90,0.7,1835,1913,1781,1968,
1864.8,44.7,95,0.701,1827,1907,1772,1962,
1857.6,45.2,100,0.701,1819,1901,1764,1954,
1850.5,45.8,105,0.7,1809,1894,1755,1950,
1843.3,46.7,110,0.699,1802,1887,1745,1945,
1836.2,47.1,115,0.701,1795,1880,1738,1939,
1829,47.8,120,0.698,1786,1873,1729,1933,
1821.9,48.6,125,0.698,1778,1867,1720,1928,
1814.7,49.5,130,0.701,1770,1860,1710,1922,
1807.6,49.9,135,0.701,1763,1853,1702,1917,
1800.5,50.2,140,0.7,1755,1845,1694,1909,
1793.3,50.6,145,0.701,1747,1838,1686,1904,
1786.2,51.1,150,0.702,1739,1831,1678,1898,
1779.1,51.8,155,0.702,1733,1824,1670,1894,
1772,52.1,160,0.703,1724,1818,1661,1887,
1764.8,52.7,165,0.7,1717,1811,1654,1881,
1757.7,53.3,170,0.701,1710,1804,1646,1878,
1750.6,54.2,175,0.701,1702,1796,1636,1871,
1743.4,54,180,0.699,1694,1791,1629,1863,
1736.3,53.8,185,0.699,1687,1783,1622,1854,
1729.1,53.8,190,0.697,1679,1775,1616,1847,
1721.9,53.9,195,0.701,1670,1769,1609,1838,
1714.8,54.1,200,0.7,1663,1762,1603,1832,
1707.7,54,205,0.701,1656,1754,1597,1825,
1700.5,54.2,210,0.7,1648,1748,1590,1818,
1693.4,54.5,215,0.7,1639,1739,1582,1809,
1686.2,55,220,0.699,1630,1733,1574,1804,
1679.1,54.5,225,0.699,1623,1726,1568,1796,
1671.9,54.4,230,0.699,1616,1717,1564,1788,
1664.8,54.3,235,0.698,1608,1710,1558,1782,
1657.6,54.4,240,0.698,1600,1704,1552,1775,
1650.4,54.3,245,0.698,1593,1695,1545,1768,
1643.3,54.3,250,0.697,1585,1686,1538,1760,
1636.1,54.4,255,0.697,1576,1680,1531,1751,
1628.9,54.7,260,0.698,1569,1673,1523,1746,
1621.8,54.9,265,0.7,1563,1666,1516,1739,
1614.6,54.1,270,0.698,1554,1657,1512,1730,
1607.5,53.5,275,0.698,1547,1649,1507,1721,
1600.3,52.9,280,0.699,1540,1640,1503,1713,
1593.1,52.6,285,0.698,1531,1631,1497,1706,
1586,52,290,0.696,1524,1623,1493,1698,
1578.8,51.6,295,0.695,1518,1614,1488,1689,
1571.6,51.2,300,0.694,1510,1606,1482,1682,
1564.4,51,305,0.695,1501,1598,1476,1676,
1557.2,50.6,310,0.699,1495,1588,1472,1668,
1550.1,49.8,315,0.698,1488,1580,1468,1659,
1542.9,49,320,0.697,1482,1569,1463,1650,
1535.7,48.4,325,0.699,1474,1561,1458,1642,
1528.6,48.1,330,0.7,1469,1552,1452,1636,
1521.4,47.2,335,0.699,1463,1544,1448,1629,
1514.3,46.7,340,0.699,1457,1536,1441,1619,
1507.1,46.2,345,0.7,1453,1528,1435,1613,
1500,45.9,350,0.64,1447,1522,1428,1604,
1488.9,47.7,355,0.365,1434,1513,1416,1603,
1475.2,52.5,360,0.364,1418,1506,1392,1603,
1461.5,58.4,365,0.363,1402,1501,1365,1602,
1447.7,64,370,0.364,1388,1493,1337,1598,
1433.9,70.7,375,0.363,1373,1490,1309,1594,
1420.1,75.7,380,0.363,1357,1482,1282,1589,
1406.3,81.1,385,0.363,1342,1474,1257,1586,
1392.5,87,390,0.361,1328,1468,1225,1580,
1378.7,93.1,395,0.362,1312,1461,1200,1576,
1364.9,99.7,400,0.364,1296,1454,1169,1575,
